,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Kapaa,22.08,-159.32,86.0,66,20,13.87,US,1602466226
112,Deer Lake,49.17,-57.43,35.6,80,75,8.05,CA,1602466357
113,Bambous Virieux,-20.34,57.76,73.4,78,75,5.82,MU,1602466248
114,Saldanha,-33.01,17.94,46.4,65,12,3.36,ZA,1602466255
115,Baykit,61.67,96.37,24.42,88,81,1.59,RU,1602466290
116,Kaitangata,-46.28,169.85,54.0,64,90,7.0,NZ,1602466248
117,Provideniya,64.38,-173.3,39.2,69,75,20.13,RU,1602465954
118,Natal,-5.79,-35.21,73.4,88,20,3.36,BR,1602466117
119,Mahanje,-9.93,35.33,62.83,69,95,3.11,TZ,1602466365
120,Bengkulu,-3.8,102.27,76.62,84,100,5.1,ID,1602466232
121,Mayumba,-3.43,10.66,75.96,85,100,8.84,GA,1602466302
122,Chokurdakh,70.63,147.92,22.46,94,97,6.26,RU,1602466281
123,Manglisi,41.7,44.38,59.0,72,90,3.36,GE,1602466369
124,Comodoro Rivadavia,-45.87,-67.5,64.4,45,100,5.82,AR,1602466201
125,Province of Brindisi,40.58,17.67,69.01,88,69,9.17,IT,1602466372
126,Avera,33.19,-82.53,71.6,94,90,4.59,US,1602466273
127,Maumere,-8.62,122.21,85.84,60,77,0.34,ID,1602466374
128,Souillac,-20.52,57.52,73.4,78,75,5.82,MU,1602466237
129,Torbay,47.67,-52.73,46.99,100,90,20.8,CA,1602466233
130,Laguna,38.42,-121.42,80.6,14,1,9.17,US,1602466240
131,Carnarvon,-24.87,113.63,71.6,64,0,21.92,AU,1602465944
132,Nome,64.5,-165.41,44.01,69,75,6.93,US,1602466300
133,Beringovskiy,63.05,179.32,33.44,95,100,28.9,RU,1602466231
134,Rancho Palos Verdes,33.74,-118.39,69.01,88,20,14.99,US,1602466249
135,Srikakulam,18.3,83.9,79.88,85,100,8.3,IN,1602466391
136,Simao,22.79,100.97,73.96,57,6,1.79,CN,1602466393
137,Agbor,6.25,6.19,71.47,98,54,3.89,NG,1602466397
138,Boussé,12.66,-1.89,75.2,100,0,2.24,BF,1602466399
139,Reconquista,-29.15,-59.65,62.71,51,0,8.01,AR,1602466401
140,Cabo San Lucas,22.89,-109.91,84.99,74,40,9.17,MX,1602466075
141,Norman Wells,65.28,-126.83,28.4,92,90,16.11,CA,1602466236
142,Guarujá,-23.99,-46.26,60.8,72,20,9.17,BR,1602466406
143,Blairmore,49.6,-114.44,43.0,45,88,8.05,CA,1602466408
144,Pimenta Bueno,-11.67,-61.19,73.09,84,100,3.96,BR,1602466410
145,Panama City,8.99,-79.52,80.6,88,40,3.36,PA,1602466122
146,Bryant,34.6,-92.49,70.0,94,20,3.36,US,1602466414
147,Río Tercero,-32.17,-64.11,53.01,44,0,4.09,AR,1602466416
148,Kachīry,53.07,76.1,45.88,89,100,8.12,KZ,1602466417
149,Devils Lake,48.11,-98.87,50.0,87,90,23.04,US,1602466419
150,Quatre Cocos,-20.21,57.76,73.4,78,75,5.82,MU,1602466245
151,Dingle,11.0,122.67,82.9,78,100,2.71,PH,1602466225
152,Yellowknife,62.46,-114.35,34.0,86,90,11.41,CA,1602466251
153,Dubti,11.74,41.09,83.89,41,0,2.89,ET,1602466428
154,Ossora,59.24,163.07,40.75,63,0,1.61,RU,1602466430
155,Egvekinot,66.32,-179.17,28.36,94,98,15.68,RU,1602466270
156,Pevek,69.7,170.31,28.33,93,23,4.09,RU,1602466280
157,Port-Cartier,50.03,-66.87,37.99,69,40,6.93,CA,1602466437
158,Lakatoro,-16.1,167.42,84.2,79,40,6.93,VU,1602466439
159,Gamba,-2.65,10.0,75.78,84,100,8.37,GA,1602466298
160,Eyl,7.98,49.82,78.33,84,19,4.21,SO,1602466443
161,Dikson,73.51,80.55,37.6,99,100,22.21,RU,1602466227
162,Padang,-0.95,100.35,81.27,74,99,5.37,ID,1602466381
163,Esperance,-33.87,121.9,60.8,72,40,11.41,AU,1602466247
164,Kaohsiung City,22.62,120.31,87.8,62,40,3.36,TW,1602466268
165,Zabaykal'sk,49.63,117.32,32.7,78,100,14.32,RU,1602466455
166,Senftenberg,51.52,14.02,39.99,88,98,5.17,DE,1602466457
167,Marsh Harbour,26.54,-77.06,82.87,77,100,10.4,BS,1602466459
168,Kilakarai,9.23,78.78,82.27,66,83,17.29,IN,1602466461
169,Mogadishu,2.04,45.34,77.81,84,60,7.36,SO,1602466462
170,Kamenka,51.32,42.77,48.99,52,100,1.01,RU,1602466465
171,Khandyga,62.67,135.6,38.28,83,100,5.73,RU,1602466291
172,Les Cayes,18.2,-73.75,79.41,82,100,3.36,HT,1602466470
173,Mil'kovo,54.72,158.62,43.27,57,0,1.41,RU,1602466471
174,Broome,42.25,-75.83,57.99,58,90,8.05,US,1602466473
175,Muros,42.78,-9.06,52.0,85,3,1.01,ES,1602466476
176,Poykovskiy,61.23,73.33,41.0,100,90,4.47,RU,1602466478
177,Tuktoyaktuk,69.45,-133.04,26.6,86,90,23.04,CA,1602466228
178,Adrar,20.5,-10.07,87.03,36,0,15.84,MR,1602466293
179,Kurumkan,54.3,110.3,30.54,88,93,3.69,RU,1602466484
180,Guánica,17.97,-66.91,79.0,84,100,1.99,PR,1602466486
181,Richards Bay,-28.78,32.04,60.6,79,100,4.92,ZA,1602466266
182,Havelock,34.88,-76.9,75.0,94,90,14.99,US,1602466329
183,Sisimiut,66.94,-53.67,35.67,87,95,2.73,GL,1602466493
184,Banda Aceh,5.56,95.32,83.88,67,97,14.12,ID,1602466259
185,Labuan,5.28,115.24,77.0,94,40,6.93,MY,1602466204
186,Wajir,1.75,40.06,76.64,70,0,13.27,KE,1602466248
187,Northam,51.03,-4.22,46.99,94,100,1.99,GB,1602466500
188,Cuauhtémoc,28.42,-106.87,66.0,43,64,1.01,MX,1602466503
189,Biltine,14.53,20.92,83.55,23,0,4.34,TD,1602466504
190,Hervey Bay,-25.3,152.85,81.0,41,40,13.87,AU,1602466506
191,Safi,32.3,-9.24,67.5,75,0,11.77,MA,1602466508
192,Kununurra,-15.77,128.73,93.2,14,0,14.99,AU,1602466082
193,Arraial do Cabo,-22.97,-42.03,69.78,69,48,12.75,BR,1602466274
194,Isangel,-19.55,169.27,82.4,78,75,9.17,VU,1602466445
195,Bairiki Village,1.33,172.98,87.8,58,20,12.75,KI,1602466519
196,Rome,43.21,-75.46,48.2,57,1,6.93,US,1602466523
197,Makakilo City,21.35,-158.09,89.6,46,1,8.05,US,1602466527
198,Upernavik,72.79,-56.15,35.71,83,95,4.29,GL,1602466228
199,West Bay,19.37,-81.42,86.0,74,40,5.82,KY,1602466533
200,Betioky,-23.72,44.38,62.19,77,0,4.99,MG,1602466538
201,Pangai,-19.8,-174.35,80.6,69,20,20.8,TO,1602466541
202,Faya,18.39,42.45,59.0,58,0,3.0,SA,1602466243
203,Khovd,48.01,91.64,35.49,70,93,2.01,MN,1602466549
204,Codrington,-38.27,141.97,67.93,69,3,17.69,AU,1602466252
205,Kruisfontein,-34.0,24.73,46.99,91,0,5.84,ZA,1602466289
206,Port Macquarie,-31.43,152.92,77.0,50,0,8.05,AU,1602466259
207,Honningsvåg,70.98,25.97,41.72,83,99,4.23,NO,1602466558
208,Anito,12.45,125.29,84.72,69,99,4.0,PH,1602466561
209,Forsytheganj,52.63,29.73,52.43,84,100,2.46,BY,1602466258
210,Khatanga,71.97,102.5,24.55,98,100,12.08,RU,1602466236
211,Manacor,39.57,3.21,54.0,87,40,2.24,ES,1602466569
212,Lata,40.16,-8.33,61.0,51,0,4.0,PT,1602466235
213,Harrison,30.41,-89.04,78.8,88,1,4.12,US,1602466573
214,Caravelas,-17.71,-39.25,73.29,76,100,9.08,BR,1602466575
215,Plettenberg Bay,-34.05,23.37,52.74,71,1,5.84,ZA,1602466289
216,Jinchang,38.5,102.17,46.69,47,0,4.74,CN,1602466579
217,Nanortalik,60.14,-45.24,41.43,83,100,22.21,GL,1602466245
218,Mahanoro,-19.9,48.8,73.72,90,92,5.28,MG,1602466587
219,Alice Springs,-23.7,133.88,77.0,14,0,16.11,AU,1602466515
220,Cap-aux-Meules,47.38,-61.86,42.8,56,75,19.46,CA,1602466591
221,Ocós,14.51,-92.19,84.2,94,5,4.7,GT,1602466593
222,Kiama,-34.68,150.87,68.0,79,45,7.0,AU,1602466595
223,Zhigansk,66.77,123.37,18.03,94,93,5.91,RU,1602466597
224,Amarpur,25.03,86.9,80.76,67,91,2.95,IN,1602466599
225,Kristinestad,62.27,21.38,44.37,92,49,9.82,FI,1602466601
226,Kennett,36.24,-90.06,71.6,94,1,4.7,US,1602466603
227,Puerto Escondido,15.85,-97.07,82.4,69,75,4.7,MX,1602466128
228,Hobart,-42.88,147.33,64.0,51,75,6.93,AU,1602466229
229,Lucea,18.45,-78.17,84.2,79,20,5.82,JM,1602466610
230,Brest,52.1,23.7,46.6,95,33,6.13,BY,1602466612
231,Taltal,-25.4,-70.48,56.19,79,38,0.2,CL,1602466615
232,Panabá,21.28,-88.27,78.06,92,0,6.91,MX,1602466616
233,Launceston,-41.45,147.17,64.99,58,89,17.22,AU,1602466619
234,Northallerton,54.34,-1.43,46.4,87,100,5.82,GB,1602466372
235,Cap Malheureux,-19.98,57.61,71.01,84,0,1.01,MU,1602466625
236,Liepāja,56.54,21.04,39.2,93,100,3.36,LV,1602466627
237,Oktyabr'skoye,43.06,44.74,41.0,93,0,6.71,RU,1602466631
238,Katsuura,35.13,140.3,73.99,78,75,8.05,JP,1602466633
239,Airai,-8.93,125.41,73.72,53,50,6.49,TL,1602466015
240,Severo-Kuril'sk,50.68,156.12,48.76,68,0,1.3,RU,1602466256
241,Urusha,54.05,122.9,28.53,85,100,10.27,RU,1602466639
242,Geraldton,-28.77,114.6,69.8,52,0,12.75,AU,1602466097
243,Barrhead,55.8,-4.39,46.99,93,100,2.24,GB,1602466644
244,Kroya,-7.63,109.25,75.99,72,40,10.42,ID,1602466645
245,Grindavik,63.84,-22.43,44.6,93,75,10.29,IS,1602466275
246,Graaff-Reinet,-32.25,24.53,45.12,80,0,2.68,ZA,1602466650
247,Tyrma,50.08,132.17,39.81,71,77,9.64,RU,1602466653
248,Le Port,-20.94,55.29,69.8,73,0,4.7,RE,1602466657
249,Coos Bay,43.37,-124.22,64.0,87,90,17.22,US,1602466659
250,Ogaminana,7.59,6.22,71.47,95,42,3.71,NG,1602466661
251,Merauke,-8.47,140.33,83.91,69,82,15.59,ID,1602466666
252,Wuzhou,23.48,111.32,78.51,62,1,6.67,CN,1602466669
253,Salalah,17.02,54.09,75.2,83,0,2.24,OM,1602466280
254,Kindu,-2.95,25.95,69.62,97,99,0.58,CD,1602466673
255,Agua Buena,7.82,-80.4,78.87,84,97,4.32,PA,1602466674
256,Vila Franca do Campo,37.72,-25.43,62.6,88,75,9.17,PT,1602466074
257,Kjøllefjord,70.95,27.35,41.18,78,90,2.19,NO,1602466676
258,Ōdachō-ōda,35.18,132.5,69.8,83,75,3.36,JP,1602466464
259,Bubaque,11.28,-15.83,83.1,80,100,9.75,GW,1602466681
260,Rafai,4.95,23.92,68.94,98,100,1.81,CF,1602466685
261,Poum,-20.23,164.02,77.5,78,0,11.79,NC,1602465991
262,Pisco,-13.7,-76.22,64.4,77,14,9.17,PE,1602466237
263,Ishigaki,24.34,124.16,84.2,83,75,6.93,JP,1602466691
264,Fort Nelson,58.81,-122.7,42.8,81,75,3.36,CA,1602466546
265,Patacamaya,-17.23,-67.92,46.02,78,79,7.76,BO,1602466289
266,Ahipara,-35.17,173.17,63.5,80,83,12.21,NZ,1602466233
267,Jalu,29.03,21.55,70.84,45,100,7.54,LY,1602466305
268,Chicama,-7.84,-79.15,63.97,81,26,5.99,PE,1602466305
269,Turukhansk,65.82,87.98,22.08,97,98,14.25,RU,1602466702
270,Dawson Creek,55.77,-120.24,42.8,56,20,10.29,CA,1602466676
271,Lázaro Cárdenas,17.96,-102.2,80.96,79,91,2.48,MX,1602466706
272,Mount Isa,-20.73,139.5,91.4,14,52,13.87,AU,1602466261
273,Deputatsky,69.3,139.9,17.47,97,100,0.96,RU,1602466710
274,Dakar,14.69,-17.44,78.8,94,20,2.24,SN,1602466570
275,Maceió,-9.67,-35.74,73.4,88,16,6.93,BR,1602466715
276,Kermanshah,34.31,47.06,50.0,31,0,4.7,IR,1602466717
277,Opuwo,-18.06,13.84,55.83,34,0,1.88,NA,1602466720
278,Masterton,-40.96,175.66,60.01,95,100,4.0,NZ,1602466722
279,Coquimbo,-29.95,-71.34,55.4,82,0,4.7,CL,1602466304
280,Sukumo,32.93,132.73,78.84,60,31,3.2,JP,1602466725
281,Kedrovyy,56.17,91.82,19.4,92,40,2.24,RU,1602466303
282,Fergus Falls,46.28,-96.08,62.6,77,40,26.4,US,1602466500
283,Kumul,42.8,93.45,47.16,43,0,11.59,CN,1602466731
284,Sembakung,3.82,117.25,72.7,97,100,4.14,ID,1602466734
285,Hofn,64.25,-15.21,46.4,82,20,11.16,IS,1602466250
286,Pirovskoye,57.63,92.27,24.6,94,100,6.87,RU,1602466737
287,Albury,-36.08,146.92,68.0,60,0,4.7,AU,1602466739
288,Chui,-33.7,-53.46,56.43,92,53,6.53,UY,1602466266
289,Payo,-3.75,103.64,76.08,90,100,1.7,ID,1602466743
290,Merrill,45.18,-89.68,53.6,93,90,11.41,US,1602466745
291,Portadown,54.42,-6.44,50.0,87,100,5.82,GB,1602466747
292,Laredo,27.51,-99.51,91.4,40,1,9.17,US,1602466749
293,Lorengau,-2.02,147.27,84.04,77,96,11.65,PG,1602466285
294,Gwadar,25.12,62.33,77.5,26,0,13.49,PK,1602466600
295,Safaga,26.73,33.94,78.8,47,0,4.7,EG,1602466755
296,Muriti,-1.98,32.92,69.8,83,20,5.82,TZ,1602466759
297,Gizo Government Station,-8.1,156.84,84.83,75,34,9.46,SB,1602466259
298,Longonjo,-12.91,15.25,58.93,78,0,0.96,AO,1602466763
299,Vostok,46.49,135.88,43.68,79,97,4.29,RU,1602466765
300,Kalmunai,7.42,81.82,82.06,63,83,4.14,LK,1602466766
301,Vestmanna,62.16,-7.17,44.6,100,100,12.75,FO,1602466268
302,Anadyr,64.75,177.48,35.01,74,45,13.42,RU,1602466042
303,Porto-Novo,6.5,2.6,75.16,91,85,5.06,BJ,1602466259
304,Kasongo-Lunda,-6.47,16.82,71.17,93,100,0.63,CD,1602466774
305,Casper,42.87,-106.31,48.0,31,20,11.41,US,1602466775
306,Hwange,-18.37,26.5,72.73,68,1,10.04,ZW,1602466777
307,Synya,65.37,58.04,44.78,92,100,8.16,RU,1602466779
308,Tiksi,71.69,128.87,11.59,94,28,8.41,RU,1602465976
309,Hobyo,5.35,48.53,78.33,86,39,13.44,SO,1602466784
310,San Cristobal,7.77,-72.22,67.24,89,93,2.82,VE,1602466224
311,Sangar,63.92,127.47,25.11,82,0,8.37,RU,1602466787
312,Nchelenge,-9.35,28.73,70.66,82,70,4.29,ZM,1602466789
313,Margate,51.38,1.39,48.99,84,48,10.87,GB,1602466275
314,Narsaq,60.92,-46.05,48.2,83,100,21.92,GL,1602466286
315,Bandarbeyla,9.49,50.81,76.95,78,0,2.24,SO,1602466233
316,Te Anau,-45.42,167.72,55.17,83,39,4.23,NZ,1602466257
317,Half Moon Bay,37.46,-122.43,69.01,72,1,10.29,US,1602466238
318,Miguel Hidalgo,19.42,-99.2,68.0,63,75,4.7,MX,1602466708
319,Cherskiy,68.75,161.3,25.16,89,0,8.95,RU,1602466262
320,Amantea,39.13,16.07,61.0,77,91,2.24,IT,1602466806
321,Cham,47.18,8.46,43.0,93,75,2.35,CH,1602466808
322,Jermuk,39.84,45.67,45.46,46,100,1.83,AM,1602466809
323,Necochea,-38.55,-58.74,48.99,96,2,11.01,AR,1602466030
324,Quelimane,-17.88,36.89,72.91,86,100,5.86,MZ,1602466812
325,Kavieng,-2.57,150.8,85.23,67,76,7.36,PG,1602466278
326,Topeka,39.05,-95.68,78.8,54,1,9.17,US,1602466763
327,Periş,44.68,26.01,57.99,93,30,4.7,RO,1602466817
328,Portland,45.52,-122.68,59.0,93,90,18.34,US,1602466203
329,Escárcega,18.61,-90.75,76.42,88,100,1.3,MX,1602466822
330,Kargasok,59.06,80.86,34.61,98,100,6.26,RU,1602466824
331,Smidovich,48.6,133.82,48.63,53,0,13.18,RU,1602466826
332,Aklavik,68.22,-135.01,26.6,79,90,14.99,CA,1602466828
333,Katsina,12.99,7.6,79.23,53,0,6.85,NG,1602466829
334,São João da Barra,-21.64,-41.05,70.0,65,93,4.5,BR,1602466832
335,Kéfalos,36.75,26.96,68.0,72,45,3.36,GR,1602466834
336,Ibirubá,-28.63,-53.09,58.82,64,0,2.53,BR,1602466836
337,Zhob,31.34,69.45,57.38,33,0,4.72,PK,1602466747
338,Yumbel,-37.08,-72.57,57.2,67,0,8.05,CL,1602466840
339,San Jose,37.34,-121.89,75.2,40,20,16.11,US,1602466087
340,Ustka,54.58,16.86,45.39,85,95,9.69,PL,1602466844
341,Coahuayana Viejo,18.73,-103.68,79.79,83,100,1.66,MX,1602466846
342,Yar-Sale,66.83,70.83,38.12,90,18,8.5,RU,1602466848
343,Foz do Iguaçu,-25.55,-54.59,77.0,53,0,6.93,BR,1602466803
344,Olinda,-8.01,-34.86,80.6,69,40,4.7,BR,1602466811
345,Restrepo,3.82,-76.52,75.2,73,40,9.17,CO,1602466854
346,Oddur,4.12,43.89,72.9,88,2,8.72,SO,1602466856
347,Iquitos,-3.75,-73.25,78.87,73,98,1.88,PE,1602466858
348,Arman',59.7,150.17,43.56,60,42,4.88,RU,1602466860
349,Uyuni,-20.46,-66.83,50.97,55,27,13.44,BO,1602466864
350,Fortuna,40.6,-124.16,64.4,59,20,12.75,US,1602466300
351,Buala,-8.14,159.59,86.18,70,24,8.95,SB,1602466868
352,Namatanai,-3.67,152.43,85.68,67,69,4.65,PG,1602466871
353,Xining,36.62,101.77,41.25,67,94,1.43,CN,1602466874
354,Griffith,41.53,-87.42,66.99,77,1,10.98,US,1602466876
355,Telixtac,18.57,-98.77,68.88,87,100,1.83,MX,1602466878
356,Simbahan,6.3,120.58,84.97,64,72,1.05,PH,1602466880
357,Noyabrsk,63.2,75.45,36.84,97,100,16.02,RU,1602466882
358,Tongzi,28.78,105.09,62.19,84,100,0.63,CN,1602466884
359,Dunedin,-45.87,170.5,51.01,82,99,8.01,NZ,1602466886
360,Ati,13.22,18.34,85.59,27,94,4.09,TD,1602466887
361,Zinder,13.81,8.99,83.62,18,0,4.38,NE,1602466888
362,Dalnerechensk,45.93,133.72,51.12,60,0,5.3,RU,1602466890
363,Yulara,-25.24,130.99,82.4,13,72,14.99,AU,1602466892
364,Izumo,35.37,132.77,69.8,83,75,3.36,JP,1602466894
365,Qaqortoq,60.72,-46.03,48.2,80,100,21.92,GL,1602466895
366,Lebu,-37.62,-73.65,51.33,68,0,20.22,CL,1602466897
367,Arrondissement de Bergerac,44.83,0.5,46.99,100,0,3.36,FR,1602466898
368,Uvinza,-5.1,30.39,66.72,78,100,3.36,TZ,1602466899
369,Ulaangom,49.98,92.07,34.61,81,100,1.99,MN,1602466901
370,Oud-Beijerland,51.82,4.41,52.0,100,90,3.36,NL,1602466902
371,Warrnambool,-38.38,142.48,67.39,63,53,16.11,AU,1602466903
372,Ouidah,6.36,2.09,76.19,89,94,7.45,BJ,1602466904
373,Morondava,-20.28,44.28,72.73,68,0,2.66,MG,1602466905
